id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
a0f2640cf22742fba0cabbe592e0ff49/7678/2025-10-02 13:15:00/2025-10-02 13:23:43/""/1/"D107"/"7100.0"/"5680.0"/"15.96"/"600"/
c0679bd4afa14ac49d969967023f94f9/7678/2025-10-02 13:00:00/2025-10-02 13:08:58/""/1/"D107"/"7105.1"/"5684.08"/"15.97"/"599"/
ec487ff726334c9898e2399fae88efe2/7678/2025-10-02 12:45:00/2025-10-02 12:52:13/""/1/"D107"/"7111.3"/"5689.04"/"15.99"/"598"/
2e81ea155d84481c999e2d2ed8578a21/7678/2025-10-02 12:30:00/2025-10-02 12:36:53/""/1/"D107"/"7118.0"/"5694.4"/"16.00"/"597"/
476f1c9c31b448c9b53b571995e2371d/7678/2025-10-02 12:15:00/2025-10-02 12:22:38/""/1/"D107"/"7107.6"/"5686.08"/"15.98"/"596"/
632a8e052adb44b4ac059c6b49a31dbd/7678/2025-10-02 12:00:00/2025-10-02 12:06:53/""/1/"D107"/"7138.9"/"5711.12"/"16.05"/"595"/
d6391176521242edad43b22e665cb1d0/7678/2025-10-02 11:45:00/2025-10-02 11:52:53/""/1/"D107"/"7122.2"/"5697.76"/"16.01"/"594"/
45165493d43f42529779a24a2533e894/7678/2025-10-02 11:30:00/2025-10-02 11:37:33/""/1/"D107"/"7102.9"/"5682.32"/"15.97"/"593"/
59624006d8424b2c8fabd333a0523f8c/7678/2025-10-02 11:15:00/2025-10-02 11:22:23/""/1/"D107"/"7137.6"/"5710.08"/"16.04"/"592"/
5020567d72d04c92854fddcb81ff746f/7678/2025-10-02 11:00:00/2025-10-02 11:05:01/""/1/"D107"/"7144.4"/"5715.52"/"16.06"/"591"/
c753b8af3cbc4b00a6e299ceee0c9e18/7678/2025-10-02 10:45:00/2025-10-02 10:50:06/""/1/"D107"/"7115.3"/"5692.24"/"15.99"/"590"/
efd785999a49423abd308b9c14023981/7678/2025-10-02 10:30:00/2025-10-02 10:35:06/""/1/"D107"/"7113.6"/"5690.88"/"15.99"/"589"/
12d886288a8c41379e261914d19b4b76/7678/2025-10-02 10:15:00/2025-10-02 10:20:01/""/1/"D107"/"7109.8"/"5687.84"/"15.98"/"588"/
8cb043e3b77f4aaa99040119d08c2d45/7678/2025-10-02 10:00:00/2025-10-02 10:05:01/""/1/"D107"/"7149.1"/"5719.28"/"16.07"/"587"/
2e9de6693b27420191f2320f0c5bb03e/7678/2025-10-02 09:45:00/2025-10-02 09:48:41/""/1/"D107"/"7115.3"/"5692.24"/"15.99"/"586"/
779f471828a9434db070dea1d3f208e6/7678/2025-10-02 09:30:00/2025-10-02 09:35:06/""/1/"D107"/"7124.4"/"5699.52"/"16.01"/"585"/
70c18bf9e7bb4122a655106c9b701394/7678/2025-10-02 09:15:00/2025-10-02 09:20:06/""/1/"D107"/"7135.9"/"5708.72"/"16.04"/"584"/
afc59fccd3064d928fe2d7e6c883f678/7678/2025-10-02 09:00:00/2025-10-02 09:05:06/""/1/"D107"/"7149.2"/"5719.36"/"16.07"/"583"/
436f217f6738472b8845c522a9a88e92/7678/2025-10-02 08:45:00/2025-10-02 08:50:01/""/1/"D107"/"7182.2"/"5745.76"/"16.14"/"582"/
7ecef37e9e72433a9357cd74bc0f3cfb/7678/2025-10-02 08:30:00/2025-10-02 08:35:11/""/1/"D107"/"7151.7"/"5721.36"/"16.07"/"581"/
fa1fb15b0c7749c597c70f3e5bf01d7c/7678/2025-10-02 08:15:00/2025-10-02 08:20:06/""/1/"D107"/"7158.9"/"5727.12"/"16.09"/"580"/
83468e668cb4476bb38245f85b5ba4c7/7678/2025-10-02 08:00:00/2025-10-02 08:05:06/""/1/"D107"/"7149.3"/"5719.44"/"16.07"/"579"/
67a9b7021bfb41278bb5ff2063f7194b/7678/2025-10-02 07:45:00/2025-10-02 07:50:11/""/1/"D107"/"7169.4"/"5735.52"/"16.12"/"578"/
440f1f4ca82c4658b3a57b484ba7cc82/7678/2025-10-02 07:30:00/2025-10-02 07:35:06/""/1/"D107"/"7202.4"/"5761.92"/"16.19"/"577"/
984a19a03331450e83d3e5b16a83fe0b/7678/2025-10-02 07:15:00/2025-10-02 07:20:01/""/1/"D107"/"7222.2"/"5777.76"/"16.23"/"576"/
2f326323e22f42098cb48b6a97b7c15d/7678/2025-10-02 07:00:00/2025-10-02 07:05:06/""/1/"D107"/"7194.0"/"5755.2"/"16.17"/"575"/
65ba192b3ffd4a468f219793737dbf07/7678/2025-10-02 06:45:00/2025-10-02 06:50:11/""/1/"D107"/"7207.0"/"5765.6"/"16.20"/"574"/
094bcdd7fbdc48479a77bdd4ca8e6c53/7678/2025-10-02 06:30:00/2025-10-02 06:35:06/""/1/"D107"/"7203.0"/"5762.4"/"16.19"/"573"/
2012b62ed04e487f9e36973ac58603f7/7678/2025-10-02 06:15:00/2025-10-02 06:20:11/""/1/"D107"/"7199.8"/"5759.84"/"16.18"/"572"/
d4b50ade37d2418888c406196d9f24e1/7678/2025-10-02 06:00:00/2025-10-02 06:05:11/""/1/"D107"/"7188.6"/"5750.88"/"16.16"/"571"/
ea3da8fdf7da4ebd83ad7833e2e388f4/7678/2025-10-02 05:45:00/2025-10-02 05:50:06/""/1/"D107"/"7198.9"/"5759.12"/"16.18"/"570"/
ea514f54d1b74a6bbe66f61a6b4d21af/7678/2025-10-02 05:30:00/2025-10-02 05:35:11/""/1/"D107"/"7191.3"/"5753.04"/"16.16"/"569"/
7b5836f850074e3b8feb0733007fc6c9/7678/2025-10-02 05:15:00/2025-10-02 05:20:11/""/1/"D107"/"7215.4"/"5772.32"/"16.22"/"568"/
e73b11b9b7874ae5b504861f95410726/7678/2025-10-02 05:00:00/2025-10-02 05:05:06/""/1/"D107"/"7197.7"/"5758.16"/"16.18"/"567"/
898dc5dceb4d4d0e9d09e46565930d10/7678/2025-10-02 04:45:00/2025-10-02 04:50:11/""/1/"D107"/"7191.1"/"5752.88"/"16.16"/"566"/
6fa0de4968df41948d91390dc41bb4e3/7678/2025-10-02 04:30:00/2025-10-02 04:35:01/""/1/"D107"/"7218.3"/"5774.64"/"16.23"/"565"/
